Furniture Name	Y/N	Quality	Crafting Station	Category	Mat1	Q1	MatPrice1	Mat2	Q2	MatPrice2	Mat3	Q3	MatPrice3	Mat4	Q4	MatPrice4	Mat5	Q5	MatPrice5	Mat6	Q6	MatPrice6	Rarity Bonus	Total	Rounded Total
Alinor Bed, Noble Single		Superior	Woodworking	Suite	Heartwood	10	1200	Bast	6	30	Decorative Wax	5	750	Culanda Lacquer	1	3500	Turpen	6	30				2000	21610	22000
Alinor Bed, Overhang Full		Epic	Woodworking	Suite	Heartwood	13	1200	Bast	10	30	Decorative Wax	7	750	Culanda Lacquer	2	3500	Mastic	3	1500				5000	37650	38000
Alinor Bed, Polished Full		Epic	Woodworking	Library	Heartwood	12	1200	Bast	9	30	Decorative Wax	7	750	Culanda Lacquer	2	3500	Mastic	3	1500				5000	36420	37000
Alinor Bed, Polished Single		Superior	Woodworking	Suite	Heartwood	9	1200	Bast	6	30	Decorative Wax	4	750	Culanda Lacquer	1	3500	Turpen	6	30				2000	19660	20000
Alinor Bench, Marble		Superior	Enchanting	Dining	Mundane Rune	9	1200	Alchemical Resin	5	30	Ochre	5	15	Culanda Lacquer	6	3500	Denata	6	8				2000	34073	35000
Alinor Bench, Verdant		Epic	Woodworking	Dining	Heartwood	13	1200	Bast	9	30	Decorative Wax	8	750	Culanda Lacquer	2	3500	Mastic	3	1500				5000	38370	39000
Alinor Bookshelf Wall, Timeworn		Epic	Enchanting	Library	Mundane Rune	13	1200	Alchemical Resin	9	30	Decorative Wax	6	750	Ochre	6	15	Culanda Lacquer	2	3500	Rekuta	3	70	5000	32670	33000
Alinor Bookshelf, Grand Full		Legendary	Woodworking	Library	Heartwood	15	1200	Alchemical Resin	13	30	Decorative Wax	11	750	Ochre	11	15	Night Pumice	2	1200	Rosin	1	4500	10000	43705	44000
Alinor Bookshelf, Polished		Epic	Woodworking	Library	Heartwood	12	1200	Mundane Rune	6	1200	Decorative Wax	8	750	Ochre	6	15	Culanda Lacquer	2	3500	Mastic	3	1500	5000	44190	45000
Alinor Bowl, Carved Wood		Fine	Woodworking	Hearth	Heartwood	5	1200	Mundane Rune	3	1200	Culanda Lacquer	1	3500	Pitch	9	100							1000	15000	15000
Alinor Bowl, Millet		Fine	Provisioning	Hearth	Decorative Wax	5	750	Mundane Rune	3	1200	Heartwood	5	1200	Culanda Lacquer	1	3500	Flour	20	60				1000	19050	20000
Alinor Bowl, Shallow Limestone		Fine	Enchanting	Courtyard	Mundane Rune	6	1200	Culanda Lacquer	1	3500	Jejota	9	2										1000	11718	12000
Alinor Bowl, Stemmed Limestone		Fine	Enchanting	Courtyard	Mundane Rune	7	1200	Culanda Lacquer	1	3500	Jejota	9	2										1000	12918	13000
Alinor Brazier, Hanging Coals		Superior	Blacksmithing	Lighting	Regulus	10	100	Alchemical Resin	7	30	Culanda Lacquer	1	3500	Dwarven Oil	6	22							2000	6842	7000
Alinor Brazier, Noble		Epic	Blacksmithing	Lighting	Regulus	10	100	Alchemical Resin	7	30	Culanda Lacquer	1	3500	Dwarven Oil	6	22							5000	9842	10000
Alinor Brazier, Standing Coals		Superior	Blacksmithing	Lighting	Regulus	8	100	Alchemical Resin	8	30	Heartwood	12	1200	Culanda Lacquer	2	3500	Grain Solvent	3	700				2000	26540	27000
Alinor Bread Basket, Wrought Iron		Superior	Blacksmithing	Hearth	Regulus	9	100	Ochre	6	15	Culanda Lacquer	1	3500	Dwarven Oil	6	22							2000	6622	7000
Alinor Cabinet, Noble		Epic	Woodworking	Hearth	Heartwood	12	1200	Regulus	6	100	Decorative Wax	7	750	Ochre	7	15	Culanda Lacquer	2	3500	Mastic	3	1500	5000	36855	37000
Alinor Candelabra, Wrought Iron		Epic	Blacksmithing	Lighting	Regulus	12	100	Alchemical Resin	8	30	Decorative Wax	8	750	Culanda Lacquer	2	3500	Grain Solvent	3	700				5000	21540	22000
Alinor Candles, Stand		Superior	Woodworking	Lighting	Heartwood	9	1200	Decorative Wax	6	750	Culanda Lacquer	1	3500	Turpen	6	30							2000	20980	21000
Alinor Candles, Tall Stand		Superior	Woodworking	Lighting	Heartwood	10	1200	Decorative Wax	7	750	Culanda Lacquer	1	3500	Turpen	6	30							2000	22930	23000
Alinor Carpet, Alinor Crescent		Epic	Clothing	Parlor	Bast	12	30	Alchemical Resin	8	30	Decorative Wax	8	750	Culanda Lacquer	2	3500	Elegant Lining	3	300				5000	19500	20000
Alinor Carpet, Intricate		Fine	Clothing	Parlor	Bast	7	30	Alchemical Resin	4	30	Culanda Lacquer	1	3500	Hemming	9	15							1000	4965	5000
Alinor Carpet, Verdant		Epic	Clothing	Parlor	Bast	13	30	Alchemical Resin	9	30	Decorative Wax	8	750	Culanda Lacquer	2	3500	Elegant Lining	3	300				5000	19560	20000
Alinor Carpet, Vibrant		Superior	Clothing	Parlor	Bast	9	30	Alchemical Resin	5	30	Decorative Wax	5	750	Culanda Lacquer	1	3500	Embroidery	6	21				2000	9796	10000
Alinor Chair, Polished		Superior	Woodworking	Dining	Heartwood	9	1200	Decorative Wax	6	750	Culanda Lacquer	1	3500	Turpen	6	30							2000	20980	21000
Alinor Chalice, Delicate		Superior	Jewelry	Hearth	Ochre	7	15	Regulus	5	100	Mundane Rune	5	1200	Culanda Lacquer	1	3500	Iridium Plating	2	15500				2000	43105	44000
Alinor Chalice, Ornate		Superior	Jewelry	Hearth	Ochre	7	15	Mundane Rune	5	1200	Decorative Wax	7	750	Culanda Lacquer	1	3500	Iridium Plating	1	15500				2000	32355	33000
Alinor Chalice, Silver Ornate		Superior	jewelry	Hearth	Ochre	7	15	Mundane Rune	6	1200	Decorative Wax	6	750	Culanda Lacquer	1	3500	Iridium Plating	1	15500				2000	32805	33000
Alinor Column, Heavy Timeworn		Fine	Enchanting	Structures	Mundane Rune	7	1200	Alchemical Resin	5	30	Culanda Lacquer	1	3500	Jejota	9	2							1000	13068	14000
Alinor Column, Slender Timeworn		Superior	Enchanting	Structures	Mundane Rune	9	1200	Alchemical Resin	6	30	Culanda Lacquer	1	3500	Denata	6	8							2000	16528	17000
Alinor Column, Timeworn		Superior	Enchanting	Structures	Mundane Rune	10	1200	Alchemical Resin	7	30	Culanda Lacquer	1	3500	Denata	6	8							2000	17758	18000
Alinor Counter, Polished Corner		Superior	Woodworking	Dining	Heartwood	9	1200	Mundane Rune	5	1200	Decorative Wax	5	750	Ochre	5	15	Culanda Lacquer	1	3500	Turpen	6	30	2000	26305	27000
Alinor Counter, Polished Drawers		Superior	Woodworking	Dining	Heartwood	10	1200	Regulus	5	100	Decorative Wax	5	750	Ochre	5	15	Culanda Lacquer	1	3500	Turpen	6	30	2000	22005	23000
Alinor Curtains, Drawn		Superior	Clothing	Parlor	Bast	9	30	Alchemical Resin	5	30	Ochre	6	15	Culanda Lacquer	1	3500	Embroidery	6	21				2000	6136	7000
Alinor Curtains, Tall Drawn		Superior	Clothing	Parlor	Bast	10	30	Alchemical Resin	5	30	Ochre	6	15	Culanda Lacquer	1	3500	Embroidery	6	21				2000	6166	7000
Alinor Desk, Mirrored		Epic	Woodworking	Library	Heartwood	12	1200	Regulus	7	100	Alchemical Resin	7	30	Decorative Wax	7	750	Culanda Lacquer	2	3500	Mastic	3	1500	5000	37060	38000
Alinor Desk, Polished		Superior	Woodworking	Library	Heartwood	10	1200	Regulus	5	100	Decorative Wax	6	750	Culanda Lacquer	1	3500	Turpen	6	30				2000	22680	23000
Alinor Display Stand, Marble		Superior	Enchanting	Gallery	Mundane Rune	10	1200	Alchemical Resin	6	30	Decorative Wax	6	750	Culanda Lacquer	1	3500	Denata	6	8				2000	22228	23000
Alinor Display Stand, Marble Wide		Superior	Enchanting	Gallery	Mundane Rune	9	1200	Alchemical Resin	5	30	Decorative Wax	6	750	Culanda Lacquer	1	3500	Denata	6	8				2000	20998	21000
Alinor Divider, Noble		Epic	Woodworking	Suite	Heartwood	13	1200	Regulus	7	100	Decorative Wax	8	750	Ochre	7	15	Culanda Lacquer	2	3500	Mastic	3	1500	5000	38905	39000
Alinor Divider, Polished		Superior	Woodworking	Suite	Heartwood	9	1200	Regulus	5	100	Decorative Wax	5	750	Ochre	5	15	Culanda Lacquer	1	3500	Turpen	6	30	2000	20805	21000
Alinor Drapes, Noble		Epic	Clothing	Parlor	Bast	13	30	Alchemical Resin	7	30	Heartwood	7	1200	Ochre	7	15	Culanda Lacquer	2	3500	Elegant Lining	3	300	5000	22005	23000
Alinor Fence, Tall		Superior	Enchanting	Structures	Mundane Rune	8	1200	Regulus	5	100	Culanda Lacquer	1	3500	Denata	6	8							2000	15648	16000
Alinor Fence, Tall Long		Superior	Enchanting	Structures	Mundane Rune	9	1200	Regulus	6	100	Culanda Lacquer	1	3500	Denata	6	8							2000	16948	17000
Alinor Fireplace, Ornate		Epic	Enchanting	Structures	Mundane Rune	12	1200	Alchemical Resin	8	30	Decorative Wax	8	750	Culanda Lacquer	2	3500	Rekuta	3	70				5000	32850	33000
Alinor Floor, Ballroom Timeworn		Superior	Enchanting	Structures	Mundane Rune	10	1200	Alchemical Resin	5	30	Ochre	5	15	Culanda Lacquer	1	3500	Denata	6	8				2000	17773	18000
Alinor Fountain, Four-Way Timeworn		Epic	Enchanting	Courtyard	Mundane Rune	13	1200	Alchemical Resin	8	30	Decorative Wax	7	750	Ochre	7	15	Culanda Lacquer	2	3500	Rekuta	3	70	5000	33405	34000
Alinor Fountain, Timeworn		Superior	Enchanting	Courtyard	Ochre	5	15	Alchemical Resin	5	30	Mundane Rune	10	1200	Decorative Wax	6	750	Culanda Lacquer	2	3500	Denata	6	8	2000	25773	26000
Alinor Gaming Table, Punctilious Conflict		Legendary	Enchanting	Parlor	Heartwood	15	1200	Alchemical Resin	13	30	Decorative Wax	11	750	Ochre	11	15	Night Pumice	2	1200	Kuta	1	3500	10000	42705	43000
Alinor Goblet, Silver Plain		Fine	jewelry	Hearth	Ochre	5	15	Culanda Lacquer	1	3500	Terne Plating	2	2000										1000	8575	9000
Alinor Goblet, Silver Stamped		Fine	jewelry	Hearth	Ochre	5	15	Mundane Rune	4	1200	Culanda Lacquer	1	3500	Terne Plating	2	2000							1000	13375	14000
Alinor Goblet, Simple		Fine	jewelry	Hearth	Ochre	5	15	Decorative Wax	4	750	Culanda Lacquer	1	3500	Terne Plating	2	2000							1000	11575	12000
Alinor Grape Stomping Tub		Legendary	Provisioning	Hearth	Regulus	15	100	Heartwood	15	1200	Decorative Wax	11	750	Night Pumice	2	1200	Surilie Grapes	15	6	Perfect Roe	1	60000	10000	100240	101000
Alinor Jewelry Box, Noble		Epic	Woodworking	Parlor	Heartwood	12	1200	Regulus	6	100	Decorative Wax	6	750	Ochre	8	15	Culanda Lacquer	2	3500	Mastic	3	1500	5000	36120	37000
Alinor Jewelry Box, Octagonal		Superior	Woodworking	Parlor	Heartwood	10	1200	Mundane Rune	5	1200	Decorative Wax	5	750	Ochre	6	15	Culanda Lacquer	1	3500	Turpen	6	30	2000	27520	28000
Alinor Jewelry Box, Peaked		Epic	Woodworking	Parlor	Heartwood	13	1200	Decorative Wax	8	750	Ochre	9	15	Culanda Lacquer	2	3500	Mastic	3	1500				5000	38235	39000
Alinor Jewelry Box, Polished		Superior	Woodworking	Parlor	Heartwood	9	1200	Regulus	5	100	Decorative Wax	5	750	Ochre	5	15	Culanda Lacquer	1	3500	Turpen	6	30	2000	20805	21000
Alinor Lantern, Hanging		Epic	Blacksmithing	Lighting	Regulus	12	100	Alchemical Resin	8	30	Ochre	8	15	Culanda Lacquer	2	3500	Grain Solvent	3	700				5000	15660	16000
Alinor Lantern, Stationary		Epic	Blacksmithing	Lighting	Regulus	11	100	Alchemical Resin	8	30	Ochre	7	15	Culanda Lacquer	2	3500	Grain Solvent	3	700				5000	15545	16000
Alinor Meal, Complete Setting		Superior	Provisioning	Hearth	Decorative Wax	8	750	Regulus	7	100	Bast	5	30	Culanda Lacquer	1	3500	Bervez Juice	6	150				2000	13250	14000
Alinor Meal, Individual		Fine	Provisioning	Hearth	Decorative Wax	6	750	Regulus	4	100	Ochre	4	15	Culanda Lacquer	1	3500	Flour	2	60				1000	9580	10000
Alinor Nightstand, Noble		Epic	Woodworking	Suite	Heartwood	12	1200	Regulus	7	100	Decorative Wax	7	750	Ochre	7	15	Culanda Lacquer	2	3500	Mastic	3	1500	5000	36955	37000
Alinor Nightstand, Octagonal		Superior	Woodworking	Suite	Heartwood	9	1200	Decorative Wax	6	750	Culanda Lacquer	1	3500	Turpen	6	30							2000	20980	21000
Alinor Nightstand, Scalloped		Superior	Woodworking	Suite	Heartwood	10	1200	Decorative Wax	5	750	Ochre	6	15	Culanda Lacquer	1	3500	Turpen	6	30				2000	21520	22000
Alinor Pedestal, Timeworn		Fine	Enchanting	Gallery	Mundane Rune	6	1200	Alchemical Resin	4	30	Culanda Lacquer	1	3500	Jejota	9	2							1000	11838	12000
Alinor Pew, Polished		Superior	Woodworking	Dining	Heartwood	9	1200	Decorative Wax	6	750	Culanda Lacquer	1	3500	Turpen	6	30							2000	20980	21000
Alinor Pie Dish, Cherry Pie		Fine	Provisioning	Hearth	Decorative Wax	6	750	Mundane Rune	4	1200	Culanda Lacquer	1	3500	Flour	20	60							1000	15000	15000
Alinor Plate, Embossed		Fine	Blacksmithing	Hearth	Regulus	5	100	Ochre	3	15	Culanda Lacquer	1	3500	Honing Stone	9	16							1000	5189	6000
Alinor Platter, Scalloped		Superior	Blacksmithing	Hearth	Regulus	8	100	Ochre	6	15	Culanda Lacquer	1	3500	Dwarven Oil	6	22							2000	6522	7000
Alinor Plinth, Sarcophagus		Superior	Enchanting	Undercroft	Mundane Rune	8	1200	Alchemical Resin	5	30	Ochre	5	15	Culanda Lacquer	1	3500	Denata	6	8				2000	15373	16000
Alinor Post, Stone Wall		Fine	Enchanting	Structures	Mundane Rune	5	1200	Culanda Lacquer	1	3500	Jejota	9	2										1000	10518	11000
Alinor Post, Tall Fence		Superior	Enchanting	Structures	Mundane Rune	8	1200	Ochre	5	15	Culanda Lacquer	1	3500	Denata	6	8							2000	15223	16000
Alinor Pot, Hanging Stamped		Fine	Blacksmithing	Hearth	Regulus	6	100	Culanda Lacquer	1	3500	Honing Stone	9	16										1000	5244	6000
Alinor Pot, Limestone		Fine	Enchanting	Courtyard	Mundane Rune	7	1200	Culanda Lacquer	1	3500	Jejota	9	2										1000	12918	13000
Alinor Pot, Patterned		Fine	Blacksmithing	Hearth	Regulus	7	100	Culanda Lacquer	1	3500	Honing Stone	9	16										1000	5344	6000
Alinor Potted Plant, Double Tiered		Superior	Enchanting	Conservatory	Mundane Rune	8	1200	Decorative Wax	5	750	Heartwood	5	1200	Culanda Lacquer	1	3500	Denata	6	8				2000	24898	25000
Alinor Potted Plant, Perpetual Bloom		Epic	Enchanting	Conservatory	Mundane Rune	13	1200	Decorative Wax	10	750	Heartwood	7	1200	Culanda Lacquer	2	3500	Rekuta	3	70				5000	43710	44000
Alinor Potted Plant, Triple Tiered		Superior	Enchanting	Conservatory	Mundane Rune	9	1200	Decorative Wax	5	750	Heartwood	5	1200	Culanda Lacquer	1	3500	Denata	6	8				2000	26098	27000
Alinor Potted Plant, Twin Saplings		Superior	Enchanting	Conservatory	Mundane Rune	10	1200	Decorative Wax	5	750	Heartwood	6	1200	Culanda Lacquer	1	3500	Denata	6	8				2000	28498	29000
Alinor Rug, Alinor Seal		Superior	Clothing	Parlor	Bast	10	30	Alchemical Resin	5	30	Decorative Wax	5	750	Culanda Lacquer	1	3500	Embroidery	6	21				2000	9826	10000
Alinor Runner, Royal		Epic	Clothing	Parlor	Bast	12	30	Alchemical Resin	8	30	Decorative Wax	8	750	Culanda Lacquer	2	3500	Elegant Lining	3	300				5000	19500	20000
Alinor Sarcophagus, Open		Superior	Enchanting	Undercroft	Mundane Rune	9	1200	Alchemical Resin	5	30	Ochre	5	15	Culanda Lacquer	1	3500	Denata	6	8				2000	16573	17000
Alinor Sarcophagus, Peaked		Epic	Enchanting	Undercroft	Mundane Rune	13	1200	Alchemical Resin	9	30	Ochre	8	15	Culanda Lacquer	2	3500	Rekuta	3	70				5000	28200	29000
Alinor Sarcophagus, Wedge		Epic	Enchanting	Undercroft	Mundane Rune	13	1200	Alchemical Resin	8	30	Ochre	9	15	Culanda Lacquer	2	3500	Rekuta	3	70				5000	28185	29000
Alinor Sconce, Arched		Superior	Blacksmithing	Lighting	Regulus	9	100	Alchemical Resin	6	30	Culanda Lacquer	1	3500	Dwarven Oil	6	22							2000	6712	7000
Alinor Sconce, Arched Glass		Epic	Blacksmithing	Lighting	Regulus	12	100	Alchemical Resin	8	30	Ochre	8	15	Culanda Lacquer	2	3500	Grain Solvent	3	700				5000	15660	16000
Alinor Sconce, Candles		Fine	Blacksmithing	Lighting	Regulus	2	100	Decorative Wax	4	750	Heartwood	5	1200	Culanda Lacquer	1	3500	Honing Stone	9	16				1000	13844	14000
Alinor Sconce, Candles Tall		Fine	Blacksmithing	Lighting	Regulus	2	100	Decorative Wax	5	750	Heartwood	6	1200	Culanda Lacquer	1	3500	Honing Stone	9	16				1000	15794	16000
Alinor Sconce, Crenellated		Superior	Blacksmithing	Lighting	Regulus	8	100	Alchemical Resin	5	30	Culanda Lacquer	1	3500	Dwarven Oil	6	22							2000	6582	7000
Alinor Sconce, Lantern		Epic	Blacksmithing	Lighting	Regulus	13	100	Alchemical Resin	8	30	Ochre	9	15	Culanda Lacquer	2	3500	Grain Solvent	3	700				5000	15775	16000
Alinor Sconce, Wrought Glass		Epic	Blacksmithing	Lighting	Regulus	13	100	Alchemical Resin	9	30	Ochre	8	15	Culanda Lacquer	2	3500	Grain Solvent	3	700				5000	15790	16000
Alinor Shrine, Limestone		Superior	Enchanting	Undercroft	Mundane Rune	9	1200	Alchemical Resin	5	30	Ochre	5	15	Culanda Lacquer	1	3500	Denata	6	8				2000	16573	17000
Alinor Shrine, Limestone Raised		Superior	Enchanting	Undercroft	Mundane Rune	9	1200	Alchemical Resin	6	30	Ochre	6	15	Culanda Lacquer	1	3500	Denata	6	8				2000	16618	17000
Alinor Stairway, Timeworn		Superior	Enchanting	Structures	Mundane Rune	11	1200	Alchemical Resin	5	30	Culanda Lacquer	1	3500	Denata	6	8							2000	18898	19000
Alinor Stairway, Timeworn Wide		Superior	Enchanting	Structures	Mundane Rune	12	1200	Alchemical Resin	5	30	Culanda Lacquer	1	3500	Denata	6	8							2000	20098	21000
Alinor Statue, Kinlord		Epic	Enchanting	Courtyard	Mundane Rune	13	1200	Alchemical Resin	7	30	Decorative Wax	7	750	Ochre	7	15	Culanda Lacquer	2	3500	Rekuta	3	70	5000	33375	34000
Alinor Statue, Orator		Epic	Enchanting	Courtyard	Mundane Rune	12	1200	Alchemical Resin	6	30	Decorative Wax	7	750	Ochre	7	15	Culanda Lacquer	2	3500	Rekuta	3	70	5000	32145	33000
Alinor Streetlight, Paired Wrought Iron		Epic	Blacksmithing	Lighting	Regulus	13	100	Alchemical Resin	9	30	Ochre	8	15	Culanda Lacquer	2	3500	Grain Solvent	3	700				5000	15790	16000
Alinor Streetlight, Wrought Iron		Epic	Blacksmithing	Lighting	Regulus	12	100	Alchemical Resin	8	30	Ochre	8	15	Culanda Lacquer	2	3500	Grain Solvent	3	700				5000	15660	16000
Alinor Table Setting, Complete		Superior	Blacksmithing	Dining	Regulus	9	100	Bast	5	30	Decorative Wax	5	750	Culanda Lacquer	1	3500	Dwarven Oil	6	22				2000	10432	11000
Alinor Table, Decorative Marble		Superior	Enchanting	Dining	Mundane Rune	9	1200	Alchemical Resin	5	30	Decorative Wax	5	750	Culanda Lacquer	1	3500	Denata	6	8				2000	20248	21000
Alinor Table, Noble Grand		Epic	Woodworking	Dining	Heartwood	13	1200	Mundane Rune	8	1200	Alchemical Resin	6	30	Decorative Wax	8	750	Culanda Lacquer	2	3500	Mastic	3	1500	5000	47880	48000
Alinor Table, Noble Intimate		Superior	Woodworking	Dining	Heartwood	11	1200	Mundane Rune	7	1200	Decorative Wax	7	750	Culanda Lacquer	1	3500	Turpen	6	30				2000	32530	33000
Alinor Table, Round Marble		Superior	Enchanting	Dining	Mundane Rune	9	1200	Alchemical Resin	6	30	Decorative Wax	5	750	Culanda Lacquer	1	3500	Denata	6	8				2000	20278	21000
Alinor Tapestry, Alinor Dawn		Superior	Clothing	Parlor	Bast	9	30	Regulus	5	100	Alchemical Resin	5	30	Culanda Lacquer	1	3500	Embroidery	6	21				2000	6546	7000
Alinor Tapestry, Alinor Dusk		Superior	Clothing	Parlor	Bast	9	30	Regulus	5	100	Alchemical Resin	5	30	Culanda Lacquer	1	3500	Embroidery	6	21				2000	6546	7000
Alinor Tapestry, Royal Gryphons		Superior	Clothing	Parlor	Bast	10	30	Regulus	5	100	Alchemical Resin	6	30	Culanda Lacquer	1	3500	Embroidery	6	21				2000	6606	7000
Alinor Trunk, Engraved		Superior	Woodworking	Suite	Heartwood	10	1200	Regulus	5	100	Decorative Wax	5	750	Ochre	5	15	Culanda Lacquer	1	3500	Turpen	6	30	2000	22005	23000
Alinor Trunk, Noble		Epic	Woodworking	Suite	Heartwood	12	1200	Regulus	8	100	Decorative Wax	6	750	Ochre	7	15	Culanda Lacquer	2	3500	Mastic	3	1500	5000	36305	37000
Alinor Trunk, Peaked		Superior	Woodworking	Suite	Heartwood	9	1200	Regulus	7	100	Decorative Wax	5	750	Culanda Lacquer	1	3500	Turpen	6	30				2000	20930	21000
Alinor Trunk, Spired		Epic	Woodworking	Suite	Heartwood	13	1200	Regulus	8	100	Decorative Wax	7	750	Ochre	8	15	Culanda Lacquer	2	3500	Mastic	3	1500	5000	38270	39000
Alinor Urn, Bronze		Superior	Blacksmithing	Hearth	Regulus	9	100	Ochre	7	15	Culanda Lacquer	1	3500	Dwarven Oil	6	22							2000	6637	7000
Alinor Urn, Gilded		Superior	Provisioning	Hearth	Decorative Wax	8	750	Ochre	6	15	Culanda Lacquer	1	3500	Bervez Juice	6	150							2000	12490	13000
Alinor Urn, Limestone Large		Superior	Enchanting	Courtyard	Mundane Rune	9	1200	Alchemical Resin	5	30	Culanda Lacquer	1	3500	Denata	6	8							2000	16498	17000
Alinor Urn, Stemmed		Fine	Provisioning	Hearth	Decorative Wax	5	750	Regulus	5	100	Ochre	4	15	Culanda Lacquer	1	3500	Flour	20	60				1000	10010	11000
Alinor Wall Shrine, Marble		Superior	Enchanting	Undercroft	Mundane Rune	10	1200	Regulus	6	100	Culanda Lacquer	1	3500	Denata	6	8							2000	18148	19000
Alinor Wall, Stone		Fine	Enchanting	Structures	Mundane Rune	6	1200	Culanda Lacquer	1	3500	Jejota	9	2										1000	11718	12000
Alinor Wall, Stone Corner		Fine	Enchanting	Structures	Mundane Rune	6	1200	Culanda Lacquer	1	3500	Jejota	9	2										1000	11718	12000
Alinor Wall, Stone Long		Fine	Enchanting	Structures	Mundane Rune	7	1200	Culanda Lacquer	1	3500	Jejota	9	2										1000	12918	13000
Alinor Wardrobe, Polished		Epic	Woodworking	Suite	Heartwood	12	1200	Mundane Rune	6	1200	Decorative Wax	8	750	Ochre	6	15	Culanda Lacquer	2	3500	Mastic	3	1500	5000	44190	45000
Alinor Windowbox, Blue Wisteria		Epic	Enchanting	Conservatory	Mundane Rune	13	1200	Decorative Wax	9	750	Heartwood	8	1200	Culanda Lacquer	2	3500	Rekuta	3	70				5000	44160	45000
Alinor Windowbox, Purple Wisteria		Epic	Enchanting	Conservatory	Mundane Rune	12	1200	Decorative Wax	8	750	Heartwood	8	1200	Culanda Lacquer	2	3500	Rekuta	3	70				5000	42210	43000
Alinor Winerack, Polished		Superior	Woodworking	Hearth	Heartwood	10	1200	Decorative Wax	6	750	Culanda Lacquer	1	3500	Turpen	6	30							2000	22180	23000
Alinor Writing Desk, Noble		Epic	Woodworking	Library	Heartwood	12	1200	Mundane Rune	9	1200	Decorative Wax	7	750	Culanda Lacquer	2	3500	Mastic	3	1500				5000	46950	47000
Ancient Nord Monolith, Head		Legendary	Enchanting																				10000	10000	10000
Apparatus, Boiler		Legendary	Blacksmithing	Workshop	Regulus	15	100	Mundane Rune	14	1200	Alchemical Resin	13	30	Decorative Wax	11	750	Nickel	20	15	Tempering Alloy	1	10000	10000	47240	48000
