Name	Quality	Category	Resin	Wax	Ochre	Rune	Wood	Regulus	Bast	Pelt	Patch	Mat Sum
Alinor Chair, Polished	Superior	Dining		6.0			9.0				Summerset	15.0
Alinor Chalice, Delicate	Superior	Hearth			7.0	5.0		5.0			Summerset	17.0
Alinor Chalice, Ornate	Superior	Hearth		7.0	7.0	5.0					Summerset	19.0
Alinor Chalice, Silver Ornate	Superior	Hearth		6.0	7.0	6.0					Summerset	19.0
Alinor Column, Heavy Timeworn	Fine	Structures	5.0			7.0					Summerset	12.0
Alinor Column, Slender Timeworn	Superior	Structures	6.0			9.0					Summerset	15.0
Alinor Column, Timeworn	Superior	Structures	7.0			10.0					Summerset	17.0
Alinor Counter, Polished Corner	Superior	Dining		5.0	5.0	5.0	9.0				Summerset	24.0
Alinor Counter, Polished Drawers	Superior	Dining		5.0	5.0		10.0	5.0			Summerset	25.0
Alinor Curtains, Drawn	Superior	Parlor	5.0		6.0				9.0		Summerset	20.0
Alinor Curtains, Tall Drawn	Superior	Parlor	5.0		6.0				10.0		Summerset	21.0
Alinor Desk, Mirrored	Epic	Library	7.0	7.0			12.0	7.0			Summerset	33.0
Alinor Desk, Polished	Superior	Library		6.0			10.0	5.0			Summerset	21.0
Alinor Display Stand, Marble	Superior	Gallery	6.0	6.0		10.0					Summerset	22.0
Alinor Display Stand, Marble Wide	Superior	Gallery	5.0	6.0		9.0					Summerset	20.0
Alinor Divider, Noble	Epic	Suite		8.0	7.0		13.0	7.0			Summerset	35.0
Alinor Divider, Polished	Superior	Suite		5.0	5.0		9.0	5.0			Summerset	24.0
Alinor Drapes, Noble	Epic	Parlor	7.0		7.0		7.0		13.0		Summerset	34.0
Alinor Fence, Tall	Superior	Structures				8.0		5.0			Summerset	13.0
Alinor Fence, Tall Long	Superior	Structures				9.0		6.0			Summerset	15.0
Alinor Fireplace, Ornate	Epic	Structures	8.0	8.0		12.0					Summerset	28.0
Alinor Floor, Ballroom Timeworn	Superior	Structures	5.0		5.0	10.0					Summerset	20.0
Alinor Fountain, Four-Way Timeworn	Epic	Courtyard	8.0	7.0	7.0	13.0					Summerset	35.0
Alinor Fountain, Timeworn	Superior	Courtyard	5.0	6.0	5.0	10.0					Summerset	26.0
Alinor Gaming Table, Punctilious Conflict	Legendary	Parlor	13.0	11.0	11.0		15.0				Wolfhunter	50.0
Alinor Goblet, Silver Plain	Fine	Hearth			5.0						Summerset	5.0
Alinor Goblet, Silver Stamped	Fine	Hearth			5.0	4.0					Summerset	9.0
Alinor Goblet, Simple	Fine	Hearth		4.0	5.0						Summerset	9.0
Alinor Grape Stomping Tub	Legendary	Hearth		11.0			15.0	15.0			Wolfhunter	41.0
Alinor Jewelry Box, Noble	Epic	Parlor		6.0	8.0		12.0	6.0			Summerset	32.0
Alinor Jewelry Box, Octagonal	Superior	Parlor		5.0	6.0	5.0	10.0				Summerset	26.0
Alinor Jewelry Box, Peaked	Epic	Parlor		8.0	9.0		13.0				Summerset	30.0
Alinor Jewelry Box, Polished	Superior	Parlor		5.0	5.0		9.0	5.0			Summerset	24.0
Alinor Lantern, Hanging	Epic	Lighting	8.0		8.0			12.0			Summerset	28.0
Alinor Lantern, Stationary	Epic	Lighting	8.0		7.0			11.0			Summerset	26.0
Alinor Meal, Complete Setting	Superior	Hearth		8.0				7.0	5.0		Summerset	20.0
Alinor Meal, Individual	Fine	Hearth		6.0	4.0			4.0			Summerset	14.0
Alinor Nightstand, Noble	Epic	Suite		7.0	7.0		12.0	7.0			Summerset	33.0
Alinor Nightstand, Octagonal	Superior	Suite		6.0			9.0				Summerset	15.0
Alinor Nightstand, Scalloped	Superior	Suite		5.0	6.0		10.0				Summerset	21.0
Alinor Pedestal, Timeworn	Fine	Gallery	4.0			6.0					Summerset	10.0
Alinor Pew, Polished	Superior	Dining		6.0			9.0				Summerset	15.0
Alinor Pie Dish, Cherry Pie	Fine	Hearth		6.0		4.0					Summerset	10.0
Alinor Plate, Embossed	Fine	Hearth			3.0			5.0			Summerset	8.0
Alinor Platter, Scalloped	Superior	Hearth			6.0			8.0			Summerset	14.0
Alinor Plinth, Sarcophagus	Superior	Undercroft	5.0		5.0	8.0					Summerset	18.0
Alinor Post, Stone Wall	Fine	Structures				5.0					Summerset	5.0
Alinor Post, Tall Fence	Superior	Structures			5.0	8.0					Summerset	13.0
Alinor Pot, Hanging Stamped	Fine	Hearth						6.0			Summerset	6.0
Alinor Pot, Limestone	Fine	Courtyard				7.0					Summerset	7.0
Alinor Pot, Patterned	Fine	Hearth						7.0			Summerset	7.0
Alinor Potted Plant, Double Tiered	Superior	Conservatory		5.0		8.0	5.0				Summerset	18.0
Alinor Potted Plant, Perpetual Bloom	Epic	Conservatory		10.0		13.0	7.0				Summerset	30.0
Alinor Potted Plant, Triple Tiered	Superior	Conservatory		5.0		9.0	5.0				Summerset	19.0
Alinor Potted Plant, Twin Saplings	Superior	Conservatory		5.0		10.0	6.0				Summerset	21.0
Alinor Rug, Alinor Seal	Superior	Parlor	5.0	5.0					10.0		Summerset	20.0
Alinor Runner, Royal	Epic	Parlor	8.0	8.0					12.0		Summerset	28.0
Alinor Sarcophagus, Open	Superior	Undercroft	5.0		5.0	9.0					Summerset	19.0
Alinor Sarcophagus, Peaked	Epic	Undercroft	9.0		8.0	13.0					Summerset	30.0
Alinor Sarcophagus, Wedge	Epic	Undercroft	8.0		9.0	13.0					Summerset	30.0
Alinor Sconce, Arched	Superior	Lighting	6.0					9.0			Summerset	15.0
Alinor Sconce, Arched Glass	Epic	Lighting	8.0		8.0			12.0			Summerset	28.0
Alinor Sconce, Candles	Fine	Lighting		4.0			5.0	2.0			Summerset	11.0
Alinor Sconce, Candles Tall	Fine	Lighting		5.0			6.0	2.0			Summerset	13.0
Alinor Sconce, Crenellated	Superior	Lighting	5.0					8.0			Summerset	13.0
Alinor Sconce, Lantern	Epic	Lighting	8.0		9.0			13.0			Summerset	30.0
Alinor Sconce, Wrought Glass	Epic	Lighting	9.0		8.0			13.0			Summerset	30.0
Alinor Shrine, Limestone	Superior	Undercroft	5.0		5.0	9.0					Summerset	19.0
Alinor Shrine, Limestone Raised	Superior	Undercroft	6.0		6.0	9.0					Summerset	21.0
Alinor Stairway, Timeworn	Superior	Structures	5.0			11.0					Summerset	16.0
Alinor Stairway, Timeworn Wide	Superior	Structures	5.0			12.0					Summerset	17.0
Alinor Statue, Kinlord	Epic	Courtyard	7.0	7.0	7.0	13.0					Summerset	34.0
Alinor Statue, Orator	Epic	Courtyard	6.0	7.0	7.0	12.0					Summerset	32.0
Alinor Streetlight, Paired Wrought Iron	Epic	Lighting	9.0		8.0			13.0			Summerset	30.0
Alinor Streetlight, Wrought Iron	Epic	Lighting	8.0		8.0			12.0			Summerset	28.0
Alinor Table Setting, Complete	Superior	Dining		5.0				9.0	5.0		Summerset	19.0
Alinor Table, Decorative Marble	Superior	Dining	5.0	5.0		9.0					Summerset	19.0
Alinor Table, Noble Grand	Epic	Dining	6.0	8.0		8.0	13.0				Summerset	35.0
Alinor Table, Noble Intimate	Superior	Dining		7.0		7.0	11.0				Summerset	25.0
Alinor Table, Round Marble	Superior	Dining	6.0	5.0		9.0					Summerset	20.0
Alinor Tapestry, Alinor Dawn	Superior	Parlor	5.0					5.0	9.0		Summerset	19.0
Alinor Tapestry, Alinor Dusk	Superior	Parlor	5.0					5.0	9.0		Summerset	19.0
Alinor Tapestry, Royal Gryphons	Superior	Parlor	6.0					5.0	10.0		Summerset	21.0
Alinor Trunk, Engraved	Superior	Suite		5.0	5.0		10.0	5.0			Summerset	25.0
Alinor Trunk, Noble	Epic	Suite		6.0	7.0		12.0	8.0			Summerset	33.0
Alinor Trunk, Peaked	Superior	Suite		5.0			9.0	7.0			Summerset	21.0
Alinor Trunk, Spired	Epic	Suite		7.0	8.0		13.0	8.0			Summerset	36.0
Alinor Urn, Bronze	Superior	Hearth			7.0			9.0			Summerset	16.0
Alinor Urn, Gilded	Superior	Hearth		8.0	6.0						Summerset	14.0
Alinor Urn, Limestone Large	Superior	Courtyard	5.0			9.0					Summerset	14.0
Alinor Urn, Stemmed	Fine	Hearth		5.0	4.0			5.0			Summerset	14.0
Alinor Wall Shrine, Marble	Superior	Undercroft				10.0		6.0			Summerset	16.0
Alinor Wall, Stone	Fine	Structures				6.0					Summerset	6.0
Alinor Wall, Stone Corner	Fine	Structures				6.0					Summerset	6.0
Alinor Wall, Stone Long	Fine	Structures				7.0					Summerset	7.0
Alinor Wardrobe, Polished	Epic	Suite		8.0	6.0	6.0	12.0				Summerset	32.0
Alinor Windowbox, Blue Wisteria	Epic	Conservatory		9.0		13.0	8.0				Summerset	30.0
Alinor Windowbox, Purple Wisteria	Epic	Conservatory		8.0		12.0	8.0				Summerset	28.0
Alinor Winerack, Polished	Superior	Hearth		6.0			10.0				Summerset	16.0
Alinor Writing Desk, Noble	Epic	Library		7.0		9.0	12.0				Summerset	28.0
Ancient Nord Monolith, Head	 Legendary	Courtyard	12.0			15.0		15.0			Stonethorn	0.0
Apparatus, Boiler	Legendary	Workshop	13.0	11.0		14.0		15.0			Homestead	53.0
Apparatus, Gem Calipers	Legendary	Workshop	13.0	11.0		15.0		15.0			Homestead	54.0
Apple, Display	Fine	Hearth		3.0							Homestead	3.0
Argonian Banner, Half Hands	Epic	Parlor		8.0			8.0		12.0		Homestead	28.0
Argonian Banner, Hanging	Fine	Parlor	4.0						7.0		Homestead	11.0
Argonian Banners, Frilled	Epic	Parlor		7.0			9.0		12.0		Homestead	28.0
Argonian Bar, Woven Corner	Superior	Dining					10.0	5.0		8.0	Homestead	23.0
Argonian Bark, Painted	Epic	Undercroft	8.0			8.0	12.0				Homestead	28.0
Argonian Basket, Closed	Superior	Hearth	5.0				5.0			7.0	Homestead	17.0
Argonian Basket, Serving	Fine	Hearth							4.0		Homestead	4.0
Argonian Basket, Woven	Superior	Hearth		5.0			5.0		7.0		Homestead	17.0
Argonian Baskets, Double	Fine	Hearth							5.0		Homestead	5.0
Argonian Bed, Woven	Superior	Suite		4.0			9.0		8.0		Homestead	21.0
Argonian Bedroll, Woven	Epic	Suite	7.0				9.0		12.0		Homestead	28.0
Argonian Bench, Woven	Superior	Dining					8.0	5.0	6.0		Homestead	19.0
Argonian Bin, Woven	Superior	Hearth	5.0				5.0		7.0		Homestead	17.0
Argonian Bone Chimes	Epic	Undercroft		10.0			8.0		6.0		Homestead	24.0
Argonian Bookcase, Sturdy	Superior	Library					10.0	6.0	7.0		Homestead	23.0
Argonian Bookshelf, Woven	Superior	Library					9.0	6.0	6.0		Homestead	21.0
Argonian Bowl, Bordered	Superior	Hearth		6.0		9.0					Homestead	15.0
Argonian Bowl, Ritual	Epic	Hearth	8.0			11.0		7.0			Homestead	26.0
Argonian Bowl, Serving	Superior	Hearth		4.0		6.0		7.0			Homestead	17.0
Argonian Bowl, Wooden	Fine	Hearth					6.0				Homestead	6.0
Argonian Box, Woven	Superior	Hearth					5.0		7.0		Homestead	12.0
Argonian Brazier, Mud	Epic	Lighting	8.0			13.0		9.0			Homestead	30.0
Argonian Cage, Bird	Superior	Hearth		6.0		5.0	8.0				Homestead	19.0
Argonian Cage, Rat	Superior	Hearth		5.0		5.0	7.0				Homestead	17.0
Argonian Canopy, Frilled	Epic	Structures		8.0			8.0		12.0		Homestead	28.0
Argonian Canopy, Reed	Fine	Structures					6.0		4.0		Homestead	10.0
Argonian Canopy, Scaled	Epic	Structures		7.0			7.0		10.0		Homestead	24.0
Argonian Canopy, Skull	Epic	Structures		7.0			8.0		11.0		Homestead	26.0
Argonian Censer	Epic	Undercroft	6.0			12.0	10.0				Homestead	28.0
Argonian Chair, Rough	Fine	Dining					5.0				Homestead	5.0
Argonian Chair, Woven	Superior	Dining					7.0	4.0	6.0		Homestead	17.0
Argonian Chest, Carved	Epic	Suite	7.0			13.0		10.0			Homestead	30.0
Argonian Chimney Stack	Fine	Workshop					4.0				Homestead	4.0
Argonian Counter, Long	Fine	Dining					4.0				Homestead	4.0
Argonian Cup, Bordered	Superior	Hearth	5.0	5.0				7.0			Homestead	17.0
Argonian Cup, Short	Fine	Hearth		4.0							Homestead	4.0
Argonian Cup, Tall	Fine	Hearth		4.0			6.0				Homestead	10.0
Argonian Curtain of Smoke	Epic	Parlor	7.0	7.0					10.0		Homestead	24.0
Argonian Curtain of the Nest	Epic	Parlor	10.0	7.0					13.0		Homestead	30.0
Argonian Curtain, Woven	Superior	Parlor		5.0			6.0		8.0		Homestead	19.0
Argonian Curtains, Woven	Superior	Parlor		5.0		5.0				7.0	Homestead	17.0
Argonian Divider, Stretched	Epic	Suite	8.0				13.0		9.0		Homestead	30.0
Argonian Dresser, Sturdy	Superior	Suite	5.0				8.0		6.0		Homestead	19.0
Argonian Dried Leaves	Fine	Hearth					4.0				Homestead	4.0
Argonian Drum, Ceremonial	Epic	Undercroft				9.0	9.0		14.0		Homestead	32.0
Argonian End Table, Woven	Superior	Parlor					8.0	5.0	6.0		Homestead	19.0
Argonian Gravestick	Epic	Undercroft				8.0	12.0		8.0		Homestead	28.0
Argonian Hamper, Woven	Epic	Hearth				7.0	10.0		7.0		Homestead	24.0
Argonian Jug, Ritual	Epic	Hearth	8.0			12.0		8.0			Homestead	28.0
Argonian Lamp, Mud	Epic	Lighting	9.0			14.0		9.0			Homestead	32.0
Argonian Lamppost	Superior	Lighting	5.0			6.0			8.0		Homestead	19.0
Argonian Lanterns, Strand	Epic	Lighting	8.0			7.0			11.0		Homestead	26.0
Argonian Lanterns, String	Epic	Lighting	8.0			7.0			11.0		Homestead	26.0
Argonian Lattice, Rough	Fine	Structures					6.0	3.0	4.0		Homestead	13.0
Argonian Light, Stick	Epic	Lighting		10.0			8.0		6.0		Homestead	24.0
Argonian Lights, Branch	Epic	Lighting		10.0		6.0	8.0				Homestead	24.0
Argonian Mat, Reed	Fine	Suite							4.0		Homestead	4.0
Argonian Mat, Rolled Reed	Fine	Suite							4.0		Homestead	4.0
Argonian Mat, Tidy Reed	Fine	Suite							4.0		Homestead	4.0
Argonian Medallion, Stone	Superior	Gallery	5.0			9.0		4.0			Homestead	18.0
Argonian Mortar and Pestle, Bone	Epic	Hearth	9.0	7.0		12.0					Homestead	28.0
Argonian Mortar, Bone	Epic	Hearth	8.0	7.0		11.0					Homestead	26.0
Argonian Mug, Tooth	Fine	Hearth	4.0			4.0	6.0				Homestead	14.0
Argonian Pan, Frying	Fine	Hearth				4.0					Homestead	4.0
Argonian Pedestal, Altar	Epic	Undercroft	6.0			13.0		11.0			Homestead	30.0
Argonian Pestle, Bone	Epic	Hearth	10.0	7.0		7.0					Homestead	24.0
Argonian Pole, Split	Fine	Hearth					7.0				Homestead	7.0
Argonian Post, Frilled	Epic	Courtyard		10.0			7.0		7.0		Homestead	24.0
Argonian Post, Rough	Fine	Courtyard					6.0				Homestead	6.0
Argonian Post, Sturdy	Fine	Courtyard					7.0				Homestead	7.0
Argonian Pot, Ritual	Epic	Undercroft				12.0		8.0	8.0		Homestead	28.0
Argonian Rack, Drying	Superior	Hearth				5.0	5.0		7.0		Homestead	17.0
Argonian Rack, Sturdy	Fine	Hearth					7.0				Homestead	7.0
Argonian Ramekin, Bordered	Superior	Hearth		4.0		9.0		5.0			Homestead	18.0
Argonian Ramekin, Hardened	Fine	Hearth				4.0					Homestead	4.0
Argonian Relic, Basin	Epic	Undercroft	9.0			14.0		9.0			Homestead	32.0
Argonian Relic, Serpent	Epic	Undercroft	8.0			12.0		8.0			Homestead	28.0
Argonian Relic, Small Serpent	Epic	Undercroft	8.0			11.0		7.0			Homestead	26.0
Argonian Scaleskin, Faded	Superior	Suite		5.0						8.0	Homestead	13.0
Argonian Scaleskin, Pale	Superior	Suite		5.0					8.0		Homestead	13.0
Argonian Scaleskin, Striped	Superior	Suite							7.0		Homestead	7.0
Argonian Seat of Authority	Epic	Dining		9.0			8.0		13.0		Homestead	30.0
Argonian Seat of Comfort	Epic	Dining	8.0	8.0					12.0		Homestead	28.0
Argonian Seat of Honor	Epic	Dining		8.0			8.0		12.0		Homestead	28.0
Argonian Shelf, Woven	Superior	Library	5.0				8.0		6.0		Homestead	19.0
Argonian Shelves, Full	Fine	Library							6.0		Homestead	6.0
Argonian Shelves, Half	Fine	Library							5.0		Homestead	5.0
Argonian Skull, Crocodile	Epic	Undercroft	7.0	10.0		7.0					Homestead	24.0
Argonian Skull, Lizard	Epic	Undercroft	7.0	10.0		7.0					Homestead	24.0
Argonian Snakes in a Basket	Superior	Hearth	4.0				7.0		6.0		Homestead	17.0
Argonian Snakes on a Rope	Fine	Hearth		4.0							Homestead	4.0
Argonian Stool, Roped	Fine	Workshop					5.0				Homestead	5.0
Argonian Stool, Woven	Superior	Workshop					7.0	5.0	5.0		Homestead	17.0
Argonian Table, Formal	Superior	Dining					9.0	6.0	6.0		Homestead	21.0
Argonian Table, Horn	Epic	Dining		7.0		8.0	11.0				Homestead	26.0
Argonian Table, Rough	Fine	Dining					6.0				Homestead	6.0
Argonian Tarp, Sturdy	Fine	Structures							5.0		Homestead	5.0
Argonian Tarp, Woven	Fine	Structures							5.0		Homestead	5.0
Argonian Tent, Reed	Fine	Structures					7.0		4.0		Homestead	11.0
Argonian Tile, Inscribed	Epic	Structures	8.0			12.0		8.0			Homestead	28.0
Argonian Totem of Skulls	Epic	Undercroft		10.0		7.0	7.0				Homestead	24.0
Argonian Totem of the Snake	Epic	Undercroft		10.0		6.0	8.0				Homestead	24.0
Argonian Totem, Frilled Skull	Superior	Undercroft		7.0		5.0	5.0				Homestead	17.0
Argonian Totem, Painted Skull	Superior	Undercroft		8.0		6.0	5.0				Homestead	19.0
Argonian Tray, Woven	Superior	Hearth				5.0	5.0		7.0		Homestead	17.0
Argonian Tree of Lights	Epic	Lighting		10.0		6.0	7.0				Homestead	23.0
Argonian Trunk, Painted	Epic	Suite	8.0				13.0			9.0	Homestead	30.0
Argonian Trunk, Sturdy	Superior	Suite				5.0	9.0	4.0			Homestead	18.0
Argonian Urn, Clawfoot	Superior	Undercroft		5.0		10.0		5.0			Homestead	20.0
Argonian Wind Chimes	Superior	Undercroft		6.0			9.0		6.0		Homestead	21.0
Artist's Palette, Pigment	Legendary	Parlor	13.0	11.0		13.0		13.0			Wolfhunter	50.0
Ashlander Cup, Empty	Superior	Hearth		5.0			8.0				Morrowind / Clockwork	13.0
Ashlander Cup, Mazte	Superior	Hearth		6.0			9.0				Morrowind / Clockwork	15.0
Ashlander Platter, Bread and Cheese	Superior	Hearth		9.0		5.0	4.0				Morrowind / Clockwork	18.0
Ashlander Platter, Ceramic	Superior	Hearth		9.0		5.0	4.0				Morrowind / Clockwork	18.0
Ayleid Bench, Carved	Superior	Dining	6.0			9.0		4.0			Morrowind / Clockwork	19.0
Ayleid Bookcase, Cluttered	Epic	Library	7.0	6.0		12.0			7.0		Morrowind / Clockwork	32.0
Ayleid Bookshelf, Cluttered	Epic	Library	6.0	6.0		11.0			7.0		Morrowind / Clockwork	30.0
Ayleid Brazier, Fiery	Epic	Lighting	8.0			9.0		13.0			Morrowind / Clockwork	30.0
Ayleid Brazier, Welkynd Holder	Superior	Gallery				7.0		9.0			Morrowind / Clockwork	16.0
Ayleid Table, Carved	Superior	Dining	5.0			10.0		5.0			Morrowind / Clockwork	20.0
Baked Potato, Display	Superior	Hearth	5.0	7.0							Homestead	12.0
Banana, Wax	Fine	Hearth		4.0							Homestead	4.0
Basket of Apples	Superior	Hearth		8.0			6.0				Homestead	14.0
Basket of Apples, Full	Superior	Hearth		8.0			7.0				Homestead	15.0
Basket of Corn	Superior	Hearth	6.0	10.0					8.0		Homestead	24.0
Basket of Gourds	Superior	Hearth		8.0			6.0				Homestead	14.0
Basket of Lettuce	Superior	Hearth		8.0			6.0				Homestead	14.0
Basket of Tomatoes	Superior	Hearth	6.0	10.0					8.0		Homestead	24.0
Beet String, Display	Fine	Hearth		3.0							Homestead	3.0
Beets, Display	Fine	Hearth		3.0							Homestead	3.0
Blackreach Geode, Iridescent	 Legendary	Conservatory	13.0	9.0	10.0	13.0					Stonethorn	0.0
Book Row, Levitating	Fine	Library				7.0					Summerset	7.0
Book Stack, Levitating	Fine	Library				7.0					Summerset	7.0
Bottle, Elixir	Epic	Hearth	11.0	7.0		8.0					Homestead	26.0
Bottle, Liquor	Epic	Hearth	11.0	7.0		8.0					Homestead	26.0
Bottle, Poison Elixir	Legendary	Hearth	13.0	11.0		11.0	11.0				Homestead	46.0
Bottle, Wine	Epic	Hearth	11.0	9.0		6.0					Homestead	26.0
Bowl of Grubs	Fine	Hearth					5.0				Murkmire	5.0
Bowl of Guts	Fine	Hearth		4.0			4.0				Murkmire	8.0
Bowl of Worms	Fine	Hearth		4.0			4.0				Murkmire	8.0
Bowl of Worms, Large	Superior	Hearth		7.0			6.0				Murkmire	13.0
Bowl, Serving	Fine	Hearth						3.0			Homestead	3.0
Box of Plums	Superior	Hearth	7.0	10.0			7.0				Homestead	24.0
Bread Loaves, Round	Superior	Hearth	7.0	10.0		7.0					Homestead	24.0
Bread, Braided	Superior	Hearth	7.0	10.0		7.0					Homestead	24.0
Bread, Hearty Loaves	Superior	Hearth	7.0	10.0		7.0					Homestead	24.0
Bread, Round	Superior	Hearth	7.0	10.0		7.0					Homestead	24.0
Breton Amphora, Ceramic	Fine	Hearth				6.0		4.0			Homestead	10.0
Breton Amphora, Glazed	Superior	Hearth	5.0	7.0				5.0			Homestead	17.0
Breton Armchair, Padded	Epic	Dining					12.0	8.0	8.0		Homestead	28.0
Breton Armoire, Knotwork	Epic	Suite	8.0				13.0	9.0			Homestead	30.0
Breton Bed, Bunk	Fine	Suite					4.0		6.0		Homestead	10.0
Breton Bed, Canopy	Epic	Suite					12.0	6.0	14.0		Homestead	32.0
Breton Bed, Four-Poster	Superior	Suite					9.0	7.0	13.0		Homestead	29.0
Breton Bed, Full	Superior	Suite					9.0	6.0	12.0		Homestead	27.0
Breton Bed, Single	Fine	Suite					4.0		7.0		Homestead	11.0
Breton Bench, Knotwork	Superior	Dining	5.0				7.0	5.0			Homestead	17.0
Breton Bench, Plain	Fine	Dining					5.0				Homestead	5.0
Breton Bookcase, Knotwork	Superior	Library	9.0				12.0	6.0			Homestead	27.0
Breton Bookcase, Tall	Fine	Library					7.0				Homestead	7.0
Breton Cabinet, Knotwork	Epic	Hearth	9.0				13.0	8.0			Homestead	30.0
Breton Candelabra, Formal	Epic	Lighting		8.0		8.0		12.0			Homestead	28.0
Breton Carpet, Bordered	Epic	Parlor	9.0			9.0			14.0		Homestead	32.0
Breton Carpet, Dark	Superior	Parlor	6.0				5.0		8.0		Homestead	19.0
Breton Carpet, Full	Superior	Parlor	6.0			6.0			9.0		Homestead	21.0
Breton Carpet, Green	Fine	Parlor	9.0			9.0			14.0		Homestead	32.0
Breton Carpet, Square	Fine	Parlor							6.0		Homestead	6.0
Breton Cart, Covered Closed	Epic	Courtyard					12.0	8.0	8.0		Homestead	28.0
Breton Cart, Covered Open	Superior	Courtyard					13.0	8.0	8.0		Homestead	29.0
Breton Cart, Palanquin	Epic	Courtyard					14.0	8.0	10.0		Homestead	32.0
Breton Cart, Wheelbarrow	Fine	Courtyard					7.0	5.0			Homestead	12.0
Breton Chair, Padded	Epic	Dining					12.0	8.0	8.0		Homestead	28.0
Breton Chair, Rocking	Superior	Dining	5.0				7.0	5.0			Homestead	17.0
Breton Chair, Slatted	Fine	Dining					4.0				Homestead	4.0
Breton Chair, Windowed	Fine	Dining					5.0				Homestead	5.0
Breton Chamberstick, Short	Superior	Lighting		8.0		4.0		5.0			Homestead	17.0
Breton Chamberstick, Tall	Superior	Lighting		9.0		5.0		5.0			Homestead	19.0
Breton Chandelier, Wrought Iron	Epic	Lighting		10.0		8.0		14.0			Homestead	32.0
Breton Chest of Drawers	Superior	Suite	5.0				9.0	7.0			Homestead	21.0
Breton Chest, Knotwork	Superior	Suite	5.0				8.0	6.0			Homestead	19.0
Breton Coffer, Knotwork	Epic	Suite	7.0				13.0	10.0			Homestead	30.0
